Location, TSUM1, TSUM2, TSUM3, TSUM4, TSUM5, TSUM6,BeginSensitivePhaseHeatStress,EndSensitivePhaseHeatStress,HeatSumIrrigationStart,HeatSumIrrigationEnd
103_118,180,401.9799465,537.8604918,201.8801312,471.0536395,28.03890714,875.2971792,1141.720569,1,1612.774209
103_119,180,415.3994368,555.8161478,433.6523434,1011.855468,60.22949219,904.5176468,1404.867928,1,2416.723396
103_120,180,362.9163671,485.5923222,267.0141254,623.0329592,37.08529522,790.2376106,1115.522815,1,1738.555774
103_121,180,419.7961215,561.6990359,162.8405824,379.9613588,22.61674757,914.0912731,1144.33574,1,1524.297099
103_122,180,382.11475,511.2802993,187.2251339,436.8586458,26.00349085,832.0414133,1080.620183,1,1517.478829
103_123,180,396.79477,530.9225796,173.3798685,404.5530264,24.08053731,864.00664,1101.097218,1,1505.650244
103_124,180,389.7044308,521.4355061,182.2263511,425.1948191,25.30921545,848.5676762,1093.366288,1,1518.561107
103_125,177.4125785,340.4403535,455.5187829,179.4659926,418.7539826,24.92583232,741.2968825,975.425129,1,1394.179112
103_126,180,376.7894411,504.1548861,167.4441699,390.703063,23.25613472,820.4457409,1048.388497,1,1439.09156
103_127,180,373.8113431,500.1701069,213.4114064,497.9599482,29.64047314,813.9610372,1087.392856,1,1585.352805
103_128,180,374.0303275,500.4631143,172.8247673,403.2577903,24.00343992,814.4378682,1047.318209,1,1450.575999
103_129,180,381.6449964,510.6517558,179.5053057,418.8457132,24.93129248,831.0185416,1071.802058,1,1490.647771
103_130,180,440.8955498,589.9306652,180.5689545,421.3275605,25.07902148,960.0345352,1211.39517,1,1632.72273
103_131,180,366.5773848,490.490867,181.4034476,423.2747109,25.19492329,798.2093478,1038.471699,1,1461.74641
103_132,180,349.327735,467.4103496,218.3969272,509.5928301,30.33290658,760.6488426,1035.135012,1,1544.727842
103_133,180,374.0200247,500.4493289,198.4338504,463.0123176,27.56025702,814.4154341,1072.903204,1,1535.915522
103_134,180,372.5972969,498.545679,179.6278726,419.1317028,24.94831566,811.3174945,1050.770849,1,1469.902551
103_135,180,358.4183758,479.5738831,185.0155712,431.7029994,25.69660713,780.4433929,1023.00783,1,1454.710829
103_136,178.8675122,343.2322532,459.2544233,214.7287965,501.0338585,29.82344399,747.3761458,1017.215473,1,1518.249332
103_137,179.5066927,344.4587888,460.8955625,174.9159174,408.1371406,24.29387744,750.0468838,980.2702687,1,1388.407409
103_138,168.4802577,323.299954,432.5844456,190.5005046,444.5011774,26.45840344,703.9742661,946.3849042,1,1390.886082
103_139,180,352.4404423,471.5752397,234.6807754,547.5884758,32.59455216,767.4266532,1058.696457,1,1606.284933
103_140,161.1209824,309.1781014,413.689009,181.614385,423.7668984,25.22422016,673.2244293,904.4814955,1,1328.248394
